id,team_type,team_id,team_name,team_conference,start_date,venue,neutral_site,outlet,abbreviation,color,alternateColor,logos,formatted_spread,over_under,outlet_logos,rank
401645318,away,2466,Northwestern State,Southland,2024-08-30 00:00:00+00:00,Chapman Stadium,False,ESPN+,NWST,#492F91,#ed6118,http://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,Tulsa -37.5,55.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401634206,home,38,Colorado,Big 12,2024-08-30 00:00:00+00:00,Folsom Field,False,ESPN,COLO,#CFB87C,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/38.png,Colorado -11.5,54.5,assets/tv-logos/ESPN tv channel logo/ESPN_logos.png,25.0
401634206,away,2449,North Dakota State,MVFC,2024-08-30 00:00:00+00:00,Folsom Field,False,ESPN,NDSU,#01402A,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2449.png,Colorado -11.5,54.5,assets/tv-logos/ESPN tv channel logo/ESPN_logos.png,1.0
401645316,home,5,UAB,American Athletic,2024-08-30 00:00:00+00:00,Protective Stadium,False,ESPN+,UAB,#003b28,#ffc845,http://a.espncdn.com/i/teamlogos/ncaa/500/5.png,UAB -29.5,55.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401645316,away,2016,Alcorn State,SWAC,2024-08-30 00:00:00+00:00,Protective Stadium,False,ESPN+,ALCN,#4b0058,#46166a,http://a.espncdn.com/i/teamlogos/ncaa/500/2016.png,UAB -29.5,55.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401654845,home,356,Illinois,Big Ten,2024-08-30 01:00:00+00:00,"Memorial Stadium (Champaign, IL)",False,BIG10,ILL,#ff5f05,#13294b,http://a.espncdn.com/i/teamlogos/ncaa/500/356.png,Illinois -28.5,50.5,assets/tv-logos/BIG10 tv channel logo/Big_Ten_Network_Logo.png,16.0
401654845,away,2197,Eastern Illinois,Big South-OVC,2024-08-30 01:00:00+00:00,"Memorial Stadium (Champaign, IL)",False,BIG10,EIU,#null,#bebab9,http://a.espncdn.com/i/teamlogos/ncaa/500/2197.png,Illinois -28.5,50.5,assets/tv-logos/BIG10 tv channel logo/Big_Ten_Network_Logo.png,
401636607,home,254,Utah,Big 12,2024-08-30 01:00:00+00:00,Rice-Eccles Stadium,False,BIG12ESPN+,UTAH,#ea002a,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/254.png,Utah -37.5,55.5,assets/tv-logos/BIG12ESPN+ tv channel logo/Big_12_Conference.png,16.0
401636607,away,253,Southern Utah,UAC,2024-08-30 01:00:00+00:00,Rice-Eccles Stadium,False,BIG12ESPN+,SUU,#c72026,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/253.png,Utah -37.5,55.5,assets/tv-logos/BIG12ESPN+ tv channel logo/Big_12_Conference.png,
401636607_1,home,254,Utah,Big 12,2024-08-30 01:00:00+00:00,Rice-Eccles Stadium,False,ESPN+,UTAH,#ea002a,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/254.png,Utah -37.5,55.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,16.0
401636607_1,away,253,Southern Utah,UAC,2024-08-30 01:00:00+00:00,Rice-Eccles Stadium,False,ESPN+,SUU,#c72026,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/253.png,Utah -37.5,55.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401643698,home,23,San José State,Mountain West,2024-08-30 02:00:00+00:00,CEFCU Stadium,False,truTV,SJSU,#005893,#fdba31,http://a.espncdn.com/i/teamlogos/ncaa/500/23.png,San José State -2.5,62.5,assets/tv-logos/truTV tv channel logo/Image_1.png,
401643698,away,16,Sacramento State,Big Sky,2024-08-30 02:00:00+00:00,CEFCU Stadium,False,truTV,SAC,#00573C,#cdb97d,http://a.espncdn.com/i/teamlogos/ncaa/500/16.png,San José State -2.5,62.5,assets/tv-logos/truTV tv channel logo/Image_1.png,20.0
401628328,home,201,Oklahoma,SEC,2024-08-30 23:00:00+00:00,"Memorial Stadium (Norman, OK)",False,ESPN,OU,#a32036,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/201.png,Oklahoma -43.5,57.5,assets/tv-logos/ESPN tv channel logo/ESPN_logos.png,18.0
401628328,away,218,Temple,American Athletic,2024-08-30 23:00:00+00:00,"Memorial Stadium (Norman, OK)",False,ESPN,TEM,#A80532,#a7a9ac,http://a.espncdn.com/i/teamlogos/ncaa/500/218.png,Oklahoma -43.5,57.5,assets/tv-logos/ESPN tv channel logo/ESPN_logos.png,
401628453,home,127,Michigan State,Big Ten,2024-08-30 23:00:00+00:00,Spartan Stadium,False,BIG10,MSU,#18453b,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/127.png,Michigan State -12.5,44.5,assets/tv-logos/BIG10 tv channel logo/Big_Ten_Network_Logo.png,
401628453,away,2226,Florida Atlantic,American Athletic,2024-08-30 23:00:00+00:00,Spartan Stadium,False,BIG10,FAU,#00447c,#d31245,http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png,Michigan State -12.5,44.5,assets/tv-logos/BIG10 tv channel logo/Big_Ten_Network_Logo.png,
401628584,home,150,Duke,ACC,2024-08-30 23:30:00+00:00,Wallace Wade Stadium,False,ACC NETWORK,DUKE,#013088,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/150.png,Duke -24.5,47.5,assets/tv-logos/ACC NETWORK tv channel logo/ACC_Network_Raycom_Logo.png,
401628584,away,2210,Elon,CAA,2024-08-30 23:30:00+00:00,Wallace Wade Stadium,False,ACC NETWORK,ELON,#020303,#b59a57,http://a.espncdn.com/i/teamlogos/ncaa/500/2210.png,Duke -24.5,47.5,assets/tv-logos/ACC NETWORK tv channel logo/ACC_Network_Raycom_Logo.png,
401628461,home,275,Wisconsin,Big Ten,2024-08-31 01:00:00+00:00,Camp Randall Stadium,False,BIG10,WIS,#c4012f,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/275.png,Wisconsin -24.5,56.5,assets/tv-logos/BIG10 tv channel logo/Big_Ten_Network_Logo.png,
401628461,away,2711,Western Michigan,Mid-American,2024-08-31 01:00:00+00:00,Camp Randall Stadium,False,BIG10,WMU,#532e1f,#8b7f79,http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png,Wisconsin -24.5,56.5,assets/tv-logos/BIG10 tv channel logo/Big_Ten_Network_Logo.png,
401634300,home,24,Stanford,ACC,2024-08-31 02:30:00+00:00,Stanford Stadium,False,ESPN,STAN,#8c1515,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/24.png,TCU -8.5,58.5,assets/tv-logos/ESPN tv channel logo/ESPN_logos.png,
401634300,away,2628,TCU,Big 12,2024-08-31 02:30:00+00:00,Stanford Stadium,False,ESPN,TCU,#4d1979,#f1f2f3,http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,TCU -8.5,58.5,assets/tv-logos/ESPN tv channel logo/ESPN_logos.png,
401634305,home,221,Pittsburgh,ACC,2024-08-31 16:00:00+00:00,Acrisure Stadium,False,ESPNU,PITT,#003263,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/221.png,Pittsburgh -23.5,54.5,assets/tv-logos/ESPNU tv channel logo/ESPNU.png,18.0
401634305,away,2309,Kent State,Mid-American,2024-08-31 16:00:00+00:00,Acrisure Stadium,False,ESPNU,KENT,#003976,#efab00,http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png,Pittsburgh -23.5,54.5,assets/tv-logos/ESPNU tv channel logo/ESPNU.png,
401628451,home,120,Maryland,Big Ten,2024-08-31 16:00:00+00:00,SECU Stadium,False,FS1,MD,#D5002B,#ffcd00,http://a.espncdn.com/i/teamlogos/ncaa/500/120.png,Maryland -18.5,44.5,assets/tv-logos/FS1 tv channel logo/Image_1.png,
401628451,away,41,UConn,FBS Independents,2024-08-31 16:00:00+00:00,SECU Stadium,False,FS1,CONN,#0c2340,#f1f2f3,http://a.espncdn.com/i/teamlogos/ncaa/500/41.png,Maryland -18.5,44.5,assets/tv-logos/FS1 tv channel logo/Image_1.png,
401628323,home,61,Georgia,SEC,2024-08-31 16:00:00+00:00,Mercedes-Benz Stadium,True,ABC,UGA,#ba0c2f,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/61.png,Georgia -10.5,49.5,assets/tv-logos/ABC tv channel logo/078f946de9ec1cc9944e12d11ec54657.png,6.0
