id,team_type,team_id,team_name,team_conference,start_date,venue,neutral_site,outlet,abbreviation,color,alternateColor,logos,formatted_spread,over_under,outlet_logos,rank
401754517,home,150,Duke,ACC,2025-08-28 23:30:00+00:00,Wallace Wade Stadium,False,ESPN+,DUKE,#013088,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/150.png,,50.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401754517,away,2210,Elon,CAA,2025-08-28 23:30:00+00:00,Wallace Wade Stadium,False,ESPN+,ELON,#020303,#b59a57,http://a.espncdn.com/i/teamlogos/ncaa/500/2210.png,,50.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401754517_1,home,150,Duke,ACC,2025-08-28 23:30:00+00:00,Wallace Wade Stadium,False,ACC Extra,DUKE,#013088,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/150.png,,50.5,assets/tv-logos/ACC Extra tv channel logo/LGQGITNTZYIOQSG.20160818183449.png,
401754517_1,away,2210,Elon,CAA,2025-08-28 23:30:00+00:00,Wallace Wade Stadium,False,ACC Extra,ELON,#020303,#b59a57,http://a.espncdn.com/i/teamlogos/ncaa/500/2210.png,,50.5,assets/tv-logos/ACC Extra tv channel logo/LGQGITNTZYIOQSG.20160818183449.png,
401752674,home,142,Missouri,SEC,2025-08-28 23:30:00+00:00,Memorial Stadium,False,SEC Network,MIZ,#f1b82d,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/142.png,Missouri -39.5,53.5,assets/tv-logos/SEC Network tv channel logo/SEC_Network_logo.png,23.0
401752674,away,2110,Central Arkansas,UAC,2025-08-28 23:30:00+00:00,Memorial Stadium,False,SEC Network,CARK,#a7a9ac,#8e959a,http://a.espncdn.com/i/teamlogos/ncaa/500/2110.png,Missouri -39.5,53.5,assets/tv-logos/SEC Network tv channel logo/SEC_Network_logo.png,
401767298,home,2535,Samford,Southern,2025-08-28 23:30:00+00:00,Seibert Stadium,False,ESPN+,SAM,#005485,#bc0023,http://a.espncdn.com/i/teamlogos/ncaa/500/2535.png,Samford -6.5,55.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401767298,away,2698,West Georgia,UAC,2025-08-28 23:30:00+00:00,Seibert Stadium,False,ESPN+,WGA,#0033a1,#db1a21,http://a.espncdn.com/i/teamlogos/ncaa/500/2698.png,Samford -6.5,55.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401756876,home,197,Oklahoma State,Big 12,2025-08-28 23:30:00+00:00,Boone Pickens Stadium,False,ESPN+,OKST,#FF7300,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/197.png,,56.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401756876,away,2630,UT Martin,Big South-OVC,2025-08-28 23:30:00+00:00,Boone Pickens Stadium,False,ESPN+,UTM,#FF6700,#102a5c,http://a.espncdn.com/i/teamlogos/ncaa/500/2630.png,,56.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401756852,home,248,Houston,Big 12,2025-08-29 00:00:00+00:00,TDECU Stadium,False,ESPN+,HOU,#c92a39,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/248.png,Houston -23.5,54.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401756852,away,2617,Stephen F. Austin,Southland,2025-08-29 00:00:00+00:00,TDECU Stadium,False,ESPN+,SFA,#393996,#bec0c2,http://a.espncdn.com/i/teamlogos/ncaa/500/2617.png,Houston -23.5,54.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,23.0
401752793,home,135,Minnesota,Big Ten,2025-08-29 00:00:00+00:00,Huntington Bank Stadium,False,FS1,MINN,#5e0a2f,#fab41c,http://a.espncdn.com/i/teamlogos/ncaa/500/135.png,Minnesota -18.5,43.0,assets/tv-logos/FS1 tv channel logo/Image_1.png,
401752793,away,2084,Buffalo,Mid-American,2025-08-29 00:00:00+00:00,Huntington Bank Stadium,False,FS1,BUF,#041A9B,#ebebeb,http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png,Minnesota -18.5,43.0,assets/tv-logos/FS1 tv channel logo/Image_1.png,
401767369,home,2466,Northwestern State,Southland,2025-08-29 00:00:00+00:00,Harry Turpin Stadium,False,ESPN+,NWST,#492F91,#ed6118,http://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,Alcorn State -10.5,49.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
